APRCRank,APRCGrade,CODE,PI,EXEC,SCICAT,BANDS,time12m_aprc,time7m_aprc,timeTP_aprc,timeNonStd_aprc,Proposal title
646,U,2015.1.01444.S,Lee Cheoljong,NA,3,73,5.1,9.2,4.0,0.0,Is the pc-Scale Dependence of CO Emission on Extinction Approximately Universal ? Testing an Empirical Approach to the Dependence of Xco on Metallicity 
647,U,2015.1.00921.S,Booker Joseph,NA,4,6,4.2,0.0,0.0,0.0,The Stellar Masses and Disk Properties of Class I Protostars: Edge-on Disks in Orion
648,U,2015.1.00088.S,Persson Magnus,EU,3,86,10.5,0.0,0.0,6.2,The origin and deuteration of warm water emission in low-mass protostars
649,C,2015.1.01000.S,Rujopakarn Wiphu,EA,1,6,3.9,0.0,0.0,0.0,"Dissecting the intensely star-forming clumps in a highly-magnified, kinematically-ordered z ~ 2 galaxy"
650,C,2015.1.01054.S,Wang Wei-Hao,EA,1,7,7.2,0.0,0.0,0.0,Shedding Light on Distant Starburst Galaxies Hosting Dust-Obscured gamma-ray Bursts
651,U,2015.1.01223.S,Zhang Han,NA,4,7,2.3,0.0,0.0,0.0,Structure and Dynamics of a Remarkably Extended Disk around Herbig Ae star WL 16
652,U,2015.1.00641.S,Brogan Crystal,NA,3,36,11.8,10.4,0.0,0.0,Quantifying Feedback from Young Massive Protoclusters
653,C,2015.1.01417.S,Lundqvist Peter,EU,5,638,9.2,0.0,0.0,1.4,Dust and Synchrotron Emission in the Pulsar-Wind Nebula of SNR 0540-69.3
654,C,2015.1.01410.S,Falstad Niklas,EU,2,6,1.8,0.0,0.0,0.0,Zw049 - a greenhouse IR galaxy?
655,U,2015.1.01408.S,Villicana Pedraza Ilhuiyolitzin,EU,2,67,2.3,0.0,0.0,0.0,Mapping extragalactic HCNH+  as the origin of high HNC abundance
656,B,2015.1.01425.S,Bauer Franz,CL,1,6,21.5,0.0,0.0,0.0,Lensing through Cosmic Time II: Mapping the Remaining Fronter Fields
657,U,2015.1.00567.S,Piconcelli Enrico,EU,2,7,5.3,0.0,0.0,0.0,"Coupling nuclear power and molecular gas in PDS 456, the most luminous quasar in the backyard"
658,C,2015.1.00671.S,Kastner Joel,NA,4,6,2.3,0.0,0.0,0.0,"The Shape of Disk Irradiation: Imaging Molecular Dissociation Products in Nearby, Evolved Protoplanetary Disks"
659,U,2015.1.01476.S,Takahashi Satoko,EA,3,7,5.2,3.4,6.9,0.0,Kinematic Study of the Youngest Interemediate-mass Protostars in Orion
660,C,2015.1.01482.S,Caceres Claudio,CL,4,73,5.4,0.0,0.0,0.0,Identifying and characterizing a circumplanetary disk
661,U,2015.1.01266.S,Sahai Raghvendra,NA,3,7,4.6,0.0,0.0,0.0,Stellar Embryos in Free-Floating EGGs: Probes of a New Pathway to Star Formation
662,C,2015.1.00323.S,Fan Xiaohui,NA,1,6,2.2,0.0,0.0,0.0,Mapping Dust Continuum in the Most Luminous Z~3 Lyman Break Galaxies: Cold Flow vs. Major Merger
663,U,2015.1.01416.S,Guzman Andres Ernesto,CL,3,6,5.5,0.0,0.0,0.0,Uncovering the true nature of the First Core Candidate L1451mm
664,C,2015.1.00586.S,Cormier Diane,EU,2,637,2.6,0.0,0.0,0.0,Solving the mystery of star formation without cold gas
665,U,2015.1.01450.S,Lee Katherine,NA,4,6,3.8,0.0,0.0,0.0,Characterizing Physical Structures In A Class 0 Disk
666,U,2015.1.01519.S,Morokuma Kana,EA,2,7,2.5,0.0,0.0,0.0,Cold gas and dust mass measurements of Herschel-detected VIPERS galaxies at z~0.6
667,U,2015.1.00068.S,Blain Andrew,EU,2,379,5.3,0.0,0.0,0.5,"Resolving the dynamics of the host, AGN outflows of PDS456: an extreme local QSO"
668,C,2015.1.01576.S,Hsieh Tien-Hao,EA,3,3,5.8,0.0,0.0,0.0,Probing Episodic Accretion in Very Low Luminosity Objects
669,U,2015.1.00733.S,Lindberg Johan,NA,4,7,5.4,0.0,0.0,0.0,The young irradiated discs of Corona Australis
670,U,2015.1.00670.S,Wampfler Susanne,EU,3,36,5.6,0.0,0.0,0.0,Tracing the evolution of the nitrogen isotopic composition from cloud to disk
671,U,2015.1.00537.S,Hunter Todd,NA,3,63,8.0,0.0,0.0,0.0,The Millimeter Population of Deeply-Embedded Protoclusters 
672,U,2015.1.00064.S,Kimball Amy,OTHER,1,7,15.0,0.0,0.0,15.0,Resolving [C II]-158um line and continuum emission in luminous QSO J1554+1937
673,U,2015.1.01261.S,Gonzalez Valentino,CL,1,7,12.9,0.0,0.0,0.0,Dust Content and Total SFR of Galaxies 1Gyr after the Big Bang
674,U,2015.1.01070.S,Hogerheijde Michiel,EU,4,4,4.4,0.0,0.0,0.0,Anatomy of deuteration and CO freeze-out in the planet-forming disk around IM Lup
675,C,2015.1.00047.S,Kaminski Tomasz,EU,5,76,7.5,0.0,0.0,0.0,Dust nucleation in oxygen-rich envelopes of evolved stars
676,U,2015.1.01605.S,Diamond-Stanic Aleksandar,NA,2,4,3.3,0.0,0.0,0.0,High-Velocity Molecular Outflows from Eddington-Limited Starbursts
677,U,2015.1.01414.S,Heiderman Amanda,NA,2,3,1.8,0.0,0.0,0.0,Dense Gas and Star Formation in the VV 219 Merger and Comparison to Galactic Regions
678,U,2015.1.01589.S,Wyatt Mark,EU,4,7,3.6,0.0,0.0,0.0,New examples of outward planet migration in 20-30Myr debris disks?
679,C,2015.1.00956.S,Leroy Adam,NA,2,6,14.6,29.2,58.5,0.0,How Does Cloud-Scale Physics Drive Galaxy Evolution?
680,U,2015.1.00153.S,Ginsburg Adam,EU,3,6,7.5,10.0,20.0,0.0,Gas temperature and kinematics as key inputs for star formation theory: Cores and turbulence in the massive protocluster W51
681,U,2015.1.01280.S,Vishwas Amit,NA,1,6748,6.0,0.0,0.0,1.9,Gargantua or Lensed? Resolving the Interstellar medium of a galaxy at z~3
682,C,2015.1.00265.S,van der Marel Nienke,EU,4,64,2.9,0.0,0.0,1.5,Feedback of planets on the protoplanetary disk: gas holes and dust traps in Oph IRS 48 and SR 21
683,C,2015.1.01079.S,Cabrera-Ziri Ivan,EU,3,3,7.6,0.0,0.0,0.0,Constraining the origin of multiple populations in globular clusters with ALMA.
684,U,2015.1.01526.S,Kuan Yi-Jehng,EA,3,7,4.7,0.0,0.0,0.0,Interstellar Pyrimidine
685,U,2015.1.00474.S,Alcolea Javier,EU,5,7,6.5,0.0,0.0,0.0,Minkowski's Footprint revisited
686,C,2015.1.00212.S,Umehata Hideki,EA,1,3,11.4,0.0,0.0,0.0,Dense Molecular Gas Mapping of the Node in the Cosmic Web at z=3.1
687,U,2015.1.00688.S,Reddy Naveen,NA,1,3,9.9,0.0,0.0,0.0,The Metallicity Dependence of the CO-H_2 Conversion Factor in z~2 Star-forming Galaxies
688,U,2015.1.01169.S,Faesi Christopher,NA,2,6,7.4,0.0,0.0,0.0,Bridging the Gap between Galactic and Extragalactic Star Formation: A Comprehensive Study of Resolved GMCs in NGC 300
689,U,2015.1.01138.S,Guzman Viviana,NA,4,7,2.3,0.0,0.0,0.0,The H2CO ortho-to-para ratio in protoplanetary disks
