APRCRank,APRCGrade,CODE,PI,EXEC,SCICAT,BANDS,time12m_aprc,time7m_aprc,timeTP_aprc,timeNonStd_aprc,Proposal title
1,A,2015.1.00049.S,Gurwell Mark,NA,4,7,2.8,0.0,0.0,0.0,Characterizing the Atmosphere and Surface of Pluto (resubmission of Cycle 2 program)
2,A,2015.1.00686.S,Andrews Sean,NA,4,7,4.1,0.0,0.0,4.1,Characterizing Substructure in the TW Hya Disk
3,B,2015.1.01577.S,Israel Frank,EU,2,6,0.7,0.0,0.0,0.0,Probing the in-fall disk in the giant elliptical galaxy NGC  5128
4,A,2015.1.01290.S,Kameno Seiji,EA,2,76,4.4,0.0,0.0,4.4,Mass accretion in the central pc-scale of NGC 1052
5,A,2015.1.01104.S,Mignani Roberto,EU,5,7643,5.5,0.0,0.0,0.0,Exploring the pulsar spectra in the sub-mm with ALMA
6,A,2015.1.00464.S,Cleeves L. Ilsedore,NA,3,,4.3,0.0,0.0,4.3,Skimming the Surface: An Absorption Study of HDO in a Young Protoplanetary Disk
7,A,2015.1.00262.S,Ginsburg Adam,EU,3,34,1.9,0.0,0.0,0.0,Digging for rusty bullets at an explosion site
8,A,2015.1.00113.S,Scoville Nick,NA,2,673,12.0,0.0,0.0,9.1,Arp 220 Nuclear Disks at 50 mas Resolution
9,A,2015.1.01415.S,van der Wiel Matthijs,EU,3,6,3.7,0.0,0.0,3.7,Outflow launching scales in a Class I protostar
10,A,2015.1.01197.S,Dunlop James,EU,1,76,7.7,0.0,0.0,0.0,A deep ALMA 850-micron image of the Hubble Ultra Deep Field: completing our view of cosmic star-formation history
11,A,2015.1.01564.S,Neeleman Marcel,NA,1,78,6.1,0.0,0.0,2.4,[C II] 158 micron Emision from Absorption-Selected Galaxies at z ~ 4
12,A,2015.1.00122.S,Sobral David,EU,1,6,6.3,0.0,0.0,0.0,Gas and dust in the most luminous Lyman-alpha emitter at the epoch of re-ionisation: PopIII?
13,A,2015.1.00354.S,Dunham Michael,NA,4,6,4.8,0.0,0.0,0.0,Detection and Characterization of Fragmentation in a Class 0 Disk
14,A,2015.1.00222.S,Williams Jonathan,NA,4,6,2.8,0.0,0.0,0.0,Disk demographics in Lupus
15,A,2015.1.00823.S,Aalto Susanne,EU,2,7,1.4,0.0,0.0,1.4,A deeply buried AGN? Zooming in on the nucleus if the LIRG IC860
16,A,2015.1.00420.S,Combes Francoise,EU,2,387,5.6,0.0,0.0,1.4,Can the passage of a radio jet compress the molecular gas in a galaxy?
17,A,2015.1.00411.T,Stephane Corbel,EU,5,36,1.6,0.0,0.0,0.0,Broadband transient jet emission from accreting black holes
18,A,2015.1.00827.S,Cyganowski Claudia,EU,3,7,4.1,0.0,0.0,0.0,Kinematics and Chemistry of (the only?) Bonafide Massive Prestellar Core
19,A,2015.1.00037.S,Lee Chin-Fei,EA,3,7,3.0,0.0,0.0,3.0,Toward Resolving the Magnetic Flux Problem in Star Formation: Mapping Poloidal B-Field in Edge-on Disks
20,A,2015.1.00142.S,Darling Jeremy,NA,2,3,1.0,0.0,0.0,0.0,High Velocity Masers in the Galactic Center:  A New Probe of General Relativity
21,A,2015.1.01596.S,Goddi Ciriaco,EU,3,6,5.6,0.0,0.0,5.6,Disks around O-type stars: the W51 complex
22,A,2015.1.00704.S,Schreiber Corentin,EU,1,67,3.0,0.0,0.0,3.0,"Unveiling a population of massive, dark ALMA galaxies at z=6"
23,A,2015.1.00692.S,Fan Xiaohui,NA,1,6,2.2,0.0,0.0,0.0,Probing the Host Galaxy of the Most Massive Black Hole at the End of Reionization 
24,A,2015.1.00870.S,Wiklind Tommy,NA,1,67,13.7,0.0,0.0,0.0,Evolution of the interstellar gas fraction over cosmic time
25,A,2015.1.00425.S,Kataoka Akimasa,EA,4,7,6.0,0.0,0.0,6.0,Direct constraint on grain size at a planet-forming region with polarization observation
26,A,2015.1.00534.S,Eisner Josh,NA,4,7,8.0,0.0,0.0,0.0,Probing Planet-Forming Zones in Orion Nebula Cluster Disks
27,A,2015.1.00467.S,Morganti Raffaella,EU,2,637,7.5,0.0,0.0,0.0,Tracing the physical conditions of a jet-driven molecular outflow
28,A,2015.1.00421.S,Nagai Hiroshi,EA,2,7,9.0,0.0,0.0,9.0,Polarimetric Observation of Centaurus A: Poloidally-dominated Magnetic Field vs. Toroidally-dominated Magnetic Field in the Innermost Jet
29,A,2015.1.00513.S,Lagadec Eric,EU,5,6,2.0,0.0,0.0,0.0,Anatomy of a Fried Egg
30,A,2015.1.00072.S,Beltran Maite,EU,3,6,4.3,0.0,0.0,3.0,Does the magnetic field regulate the collapse in the massive core G31.41+0.31?
31,A,2015.1.00546.S,Lai Shih-Ping,EA,3,7,6.0,0.0,0.0,6.0,A Comprehensive View of Magnetic Fields around Young Protostar NGC1333 IRAS 4A
32,A,2015.1.01133.S,Greve Thomas,EU,2,8,0.7,1.4,2.8,0.7,Harnessing the power of CI as a tracer of H2 in starburst galaxies
33,A,2015.1.01194.S,Tafalla Mario,EU,3,6,2.1,0.0,0.0,0.0,Understanding the L1448 outflow "bullets"
34,A,2015.1.01017.S,Loomis Ryan,NA,4,76,4.0,0.0,0.0,0.0,Direct Imaging of Vertical Structure in an Edge-on Protoplanetary Disk
35,A,2015.1.01287.S,Patience Jenny,NA,4,3,4.3,0.0,0.0,0.0,Particle growth in disks across the substellar limit
36,A,2015.1.01345.S,Iono Daisuke,EA,1,7,6.7,0.0,0.0,6.7,Spatial Strucutre of the Brightest Unlensed Submm Galaxies
37,A,2015.1.00607.S,Riechers Dominik,NA,1,7,6.6,0.0,0.0,6.6,Precise Gas Dynamical Imaging of the Most Distant Unlensed Starburst
38,A,2015.1.00399.S,Venemans Bram,EU,1,6,7.0,0.0,0.0,0.0,Sub-kpc imaging of bright quasar host galaxies at z~7
39,A,2015.1.00555.S,Hoenig Sebastian,EU,2,78,3.3,0.0,0.0,3.3,"Disks, winds, and tori -- towards a comprehensive view of the AGN environment with VLTI and ALMA"
40,A,2015.1.01518.S,Nesvadba Nicole,EU,2,3698,9.6,0.0,0.0,7.6,The star formation law and its drivers in a maximal Eddington-limited starburst at z=3 at <40 pc resolution.
41,A,2015.1.01316.S,Ebisawa Ken,EA,5,7,3.8,0.0,0.0,0.0,Search for an  Intermediate Mass Black Hole in Ultra-luminous X-ray Sources
42,A,2015.1.00966.S,Kalas Paul,NA,4,6,5.0,0.0,0.0,0.0,A Complete ALMA Portrait of Dust and Gas in Fomalhaut's Kuiper Belt
43,A,2015.1.01388.S,Sewilo Marta,NA,3,63,8.5,4.8,0.0,0.0,Tracing the Initial Conditions for Massive Star Formation in the Prominent H II Region N 113 in the Low-Metallicity LMC
44,A,2015.1.01112.S,Sadavoy Sarah,EU,3,6,9.2,0.0,0.0,9.2,Polarization and Protostars: Probing Magnetic Fields Across Disks
45,A,2015.1.01512.S,Segura-Cox Dominique,NA,4,6,5.7,0.0,0.0,5.3,Has Planet Formation Already Begun in the Class I Protostellar Phase?
46,A,2015.1.00702.S,Barcos Loreto,NA,2,3,5.3,0.0,0.0,5.3,The Structure of the Arp 220 Disks from the Optically Thinnest Part of the Spectrum
47,A,2015.1.00106.S,Zhang Qizhou,NA,3,6,2.3,0.0,0.0,0.0,Formation of O Stars by Accretion of Ionized Gas
48,A,2015.1.01362.S,Stacey Gordon,NA,1,9,6.7,0.0,0.0,6.7,ALMA Imaging of the Star Formation Process at the Historic Peak
49,A,2015.1.00299.S,Brusa Marcella,EU,1,6,6.5,0.0,0.0,0.0,Mapping the feedback effects on the gas reservoir in a z~1.6 QSO
50,A,2015.1.00754.S,Podigachoski Pece,EU,1,7,4.5,0.0,0.0,0.0,"Zooming in on the AGN-driven star formation in distant, powerful, radio-loud AGN"
51,B,2015.1.00423.S,Nixon Conor,NA,4,6,3.6,0.0,0.0,0.0,A Search for Pyridine and Pyrimidine on TItan
52,A,2015.1.00896.S,Barth Aaron,NA,2,6,5.3,0.0,0.0,5.3,The mass of the black hole in NGC 1332
53,A,2015.1.00281.S,Cesaroni Riccardo,EU,4,6,7.9,0.0,0.0,0.0,Are there disks around O-type protostars?
54,A,2015.1.01456.S,Izumi Takuma,EA,2,3,11.1,0.0,0.0,0.0,Spatially Resolved 3 mm Imaging Line Survey toward the High Luminosity Type-1 Seyfert Galaxy NGC 7469
55,A,2015.1.00048.S,Kaminski Tomasz,EU,5,7,3.2,0.0,0.0,0.0,A study of stellar mergers through measurements of their disks and outflows
56,A,2015.1.01108.S,Louvet Fabien,CL,3,6,4.1,0.0,0.0,0.0,A molecular disk wind from DG Tau B ?
57,A,2015.1.00741.S,Looney Leslie,NA,3,7,1.0,0.0,0.0,0.0,Revealing Binarity and the Youngest Disks in Oph
58,A,2015.1.00258.S,Schruba Andreas,EU,2,3,5.0,10.0,19.9,0.0,The failure of galactic star formation relations on sub-galactic scales: A direct probe of the physics of star formation
59,A,2015.1.01082.S,Goicoechea Javier,EU,3,7,2.9,5.8,0.0,0.0,ALMA imaging of the Orion Bar: Density structures and chemical stratification in PDRs
60,A,2015.1.00428.S,Inoue Akio,EA,1,7,5.0,0.0,0.0,0.0,Detecting FIR [OIII] emission from a galaxy candidate at z~10: a wedge into the pre-reionization era
61,A,2015.1.00091.S,Bradac Marusa,NA,1,6,2.2,0.0,0.0,0.0,Breaking Cosmic Dawn: Studying z~7 Galaxies with ALMA
62,A,2015.1.00039.S,Swinbank Mark,EU,1,7,4.1,0.0,0.0,4.1,A Redshift Survey of ALMA identified Sub-mm Galaxies at z>4
63,B,2015.1.00551.S,Takakuwa Shigehisa,EA,4,36,2.2,1.8,0.0,0.0,Mechanism of Material Feeding to the Planet-Forming Disk in HL Tau
64,A,2015.1.00500.S,Liu Sheng-Yuan,NA,4,7,4.1,0.0,0.0,0.0,Imaging the Disk and Gas Accretion Around Young Massive Star S255 IR
65,A,2015.1.00404.S,Combes Francoise,EU,2,7,6.2,0.0,0.0,0.0,Gas fueling and outflow around massive black holes
66,A,2015.1.00476.S,Mangum Jeffrey,NA,2,76,6.4,10.0,20.1,0.0,Dense Gas Thermometry of Starburst Galaxies
67,A,2015.1.00734.T,Diaz Trigo Maria,EU,5,73,5.0,0.0,0.0,0.0,Exploring the nature of relativistic jets in neutron star X-ray binaries - Part 2
68,A,2015.1.00147.S,Su Yu-Nung,EA,3,7,3.0,0.0,0.0,0.0,Probing the Inward Motion in the Class 0 Protostar NGC 1333 IRAS 4A
69,A,2015.1.00217.S,Chevance Melanie,EU,3,6,4.3,4.0,0.0,2.0,The molecular cloud structure in the low-metallicity environment of 30 Doradus
70,A,2015.1.00770.S,Koay Jun Yi,EU,2,938,8.5,0.0,0.0,4.9,"(Sub-)mm Continuum Emission and Gas Fueling in the Rare, Type-Transitioning Seyfert Mrk 590"
71,A,2015.1.01344.S,Molinari Sergio,EU,3,3,3.5,0.0,0.0,0.0,The initial conditions of Galactic Center Super-Cluster precursors: an ALMA survey of  A_V > 50  massive clumps along the 100-pc Ring.
72,B,2015.1.01471.S,Moreno Raphael,EU,4,7,1.4,0.0,0.0,0.0,Isotopic ratios in Neptune's atmosphere and the origin of CO and HCN (Resubmission of cycle 1 program)
73,A,2015.1.00657.S,Oberg Karin,NA,4,7,10.5,0.0,0.0,0.0,A spectral line survey of disks
74,B,2015.1.01105.S,Pentericci Laura,EU,1,6,7.4,0.0,0.0,0.0,Tracing the reionization epoch with ALMA
75,A,2015.1.01034.S,Prochaska Jason,NA,1,4,7.3,0.0,0.0,0.0,Uncovering the gas reservoirs of absorption-selected galaxies
76,B,2015.1.00997.S,Maiolino Roberto,EU,1,76,7.5,15.0,30.0,0.0,Extreme quasar feedback in the early Universe
77,A,2015.1.00294.S,Evans Aaron,NA,2,7,7.0,0.0,0.0,0.0,"Dense, Warm Molecular Gas and Star Formation in CO Luminous QSO Hosts"
78,A,2015.1.00121.S,Sakamoto Kazushi,EA,2,6,3.8,7.5,15.1,0.0,Molecular Clouds and Star Formation: Inner Disk of M83
79,A,2015.1.01256.S,Vink Jorick,EU,5,64,3.9,0.0,0.0,0.0,The mass-loss rates of the most massive stars
80,A,2015.1.01018.S,Yen Hsi-Wei,EA,3,7,6.5,0.0,0.0,6.5,Magnetic Field Structure around a Protostar with Effective Magnetic Braking
81,A,2015.1.00840.S,Bacciotti Francesca,EU,3,7,3.0,0.0,0.0,3.0,B-field maps vs jet rotation: the ultimate test of MHD angular momentum extraction
82,A,2015.1.00370.S,Treister Ezequiel,CL,2,6,5.7,0.0,0.0,5.1,The Most Detailed View of the Double Nucleus in NGC6240
83,B,2015.1.01259.S,Notsu Shota,EA,4,7,7.3,0.0,0.0,0.0,Detecting H2O Snowline of a Protoplanetary Disk
84,A,2015.1.00528.S,Belloche Arnaud,EU,3,7,6.4,0.0,0.0,0.0,The onset of molecular outflows in star formation: search for an outflow driven by a first-core candidate
85,A,2015.1.01269.S,Villanueva Geronimo,NA,4,7,1.6,0.0,0.0,0.0,Three-dimensional mapping of the Martian water cycle
86,B,2015.1.01222.S,Yamaguchi Yuki,EA,1,3,8.5,0.0,0.0,0.0,Investigating the nature of a new dust obscured star forming galaxy which can only be understood via deep ALMA spectroscopy
87,A,2015.1.00981.S,Brisbin Drew,CL,1,9,5.2,1.4,0.0,5.2,A survey of the [NII] 205 um / [CII] ratio at z=1
88,B,2015.1.00948.S,da Cunha Elisabete,OTHER,1,49,9.5,0.0,0.0,3.2,A complete census of dust in sub-millimeter galaxies
89,A,2015.1.00466.S,Onishi Kyoko,EA,2,6,6.2,0.0,0.0,2.9,The mm-Wave Interferometric Survey of Dark Object Masses (WISDOM): Increasing the number of supermassive black hole mass measurements with molecular gas using ALMA
90,A,2015.1.00271.S,van der Werf Paul,EU,2,,2.4,0.0,0.0,2.4,The molecular outflow from Arp220
91,A,2015.1.00502.S,Yamamura Issei,EA,5,6,2.8,0.0,0.0,2.8,"Spatially resolving the circumstellar envelope of WISE J180956.27-330500.2, an object recently experienced an extreme mass ejection"
92,B,2015.1.00755.S,Isella Andrea,NA,4,6,5.0,0.0,0.0,0.0,ALMA measurements of disk turbulence
93,B,2015.1.00350.S,Cieza Lucas,CL,3,6,1.2,0.0,0.0,1.2,Imaging Gravitational Instability in the most massive FU Ori object
94,A,2015.1.00393.S,Harada Ryohei,EA,3,8,2.9,5.9,11.8,3.0,CI observations toward compact molecular clouds associated with isolated intermediate- and high-mass YSOs in the LMC
95,A,2015.1.00118.S,Looney Leslie,NA,4,6,3.2,0.0,0.0,3.2,Do more evolved T Tauri disks have magnetic fields like HL Tau?
96,A,2015.1.00035.S,Liu Hauyu Baobab,NA,2,8,1.2,2.4,4.8,1.2,Resolving atomic gas in the accretion flow surrounding Sgr A*
97,A,2015.1.00280.S,Cesaroni Riccardo,EU,3,3,2.3,0.0,0.0,0.0,Lyman excess and accretion in OB-type (proto)stars
98,B,2015.1.00407.S,Marconi Alessandro,EU,1,3,3.1,0.0,0.0,0.0,Fast outflows quenching star formation at high redshift 
99,A,2015.1.00009.S,Coppin Kristen,EU,1,3,3.2,0.0,0.0,0.0,High Resolution mm-Interferometry of a Highly Magnified Lyman Break Galaxy at z=3.07
100,B,2015.1.01302.S,Brown Michael,NA,4,6,2.5,0.0,0.0,2.5,The source region of plumes of Europa
101,B,2015.1.00131.S,Fu Hai,NA,1,7,3.2,0.0,0.0,0.0,ALMA Identification of Submillimeter Galaxies along QSO Sightlines
102,A,2015.1.00468.S,Hunt Leslie,EU,2,9,4.2,0.0,0.0,4.2,Probing stellar feedback in an extreme low-metallicity starburst
103,A,2015.1.00188.S,Wootten Al,NA,5,7,1.4,0.0,0.0,0.0,Molecular Knots in the Crab Supernova Remnant
104,B,2015.1.00614.S,casassus simon,CL,4,9,2.3,0.0,0.0,2.3,Accretion dynamics in the warped disk of HD142527
105,B,2015.1.00310.S,Johnstone Doug,NA,3,6,0.8,0.0,0.0,0.0,Searching for Accretion Luminosity Variability in Deeply Embedded Protostars
106,A,2015.1.00662.S,van Kempen Tim,EU,3,89,4.1,6.7,0.0,4.1,The heating effects of the HH46/47 outflow
107,A,2015.1.01352.S,Doi Akihiro,EA,2,346,1.3,0.0,0.0,1.3,Origin of the Relativistic Jet Power
108,A,2015.1.00815.S,Lee Katherine,NA,3,6,6.4,0.0,0.0,0.0,Kinematics of Protostars at 200 AU: Completing the Evolution of Angular Momentum From Cores to Disks
109,B,2015.1.01531.S,Sagawa Hideo,EA,4,34,1.6,0.0,0.0,0.0,Probing Venus lower-cloud level atmosphere with mm-wave continuum emission
110,A,2015.1.00274.S,Bolatto Alberto,NA,2,7,10.7,14.3,28.6,0.0,A Close Look into the Blast Furnace: the Core of the NGC253 Starburst at One Parsec Resolution
111,B,2015.1.01260.S,Wyatt Mark,EU,4,7,2.8,0.0,0.0,0.0,What lies beyond Exo-Jupiter planets?
112,A,2015.1.00926.S,Hogan Michael,NA,2,34,3.8,0.0,0.0,0.0,Direct Emission from Advection Dominated Accretion Flows in the Local Universe
113,B,2015.1.00388.S,Lu Nanyao,NA,1,647,10.8,0.0,0.0,0.0,A Spectral Line Snapshot Proposal for ALMA: Characterizing Star Formation Rates and Surface Densities of High-redshift Galaxies
114,A,2015.1.00540.S,Bowler Rebecca,EU,1,6,1.2,0.0,0.0,0.0,How dusty are the brightest z ~ 7 galaxies?
115,B,2015.1.01227.S,Thomson Alasdair,EU,1,397,8.2,0.0,0.0,7.6,Imaging the ISM on 50pc scales in a lensed z=2.3 starburst galaxy
116,A,2015.1.00216.S,Groenewegen Martin,EU,5,76,3.7,0.0,0.0,0.0,The life cycle of dust and gas:  CO observations of AGB stars in the Large Magellanic Cloud
117,B,2015.1.01273.S,Motte Fr̩d̩rique,EU,3,6,6.3,8.4,16.8,0.0,Investigating the origin of the IMF and constraining SFR models in the W43-MM1 mini-starbust ridge
118,A,2015.1.00041.S,Tobin John,EU,3,7,9.1,0.0,0.0,0.0,Orion Disk And Multiplicity Survey
119,A,2015.1.01191.S,Zhang Zhiyu,EU,2,83,3.7,0.0,0.0,2.6,A new molecular gas mass tracer in galaxies: a first test in the local Universe
120,A,2015.1.01503.S,Cox Erin,NA,3,7,3.0,0.0,0.0,3.0,Testing the Correlation of Class 0 Disks with Aligned Magnetic Field and Rotation Axes
121,B,2015.1.01137.S,Tsukagoshi Takashi,EA,4,8,6.2,0.0,0.0,6.2,Difference of the Abundace of Cold Atomic Carbon between T Tauri and Herbig AeBe stars
122,B,2015.1.00616.S,Pinte Christophe,CL,4,7,4.9,0.0,0.0,4.9,A search of the elusive sub-mm polarisation in protostellar disks
123,B,2015.1.01342.S,Royster Marc,NA,2,7,1.4,0.0,0.0,0.0,The Extreme Kinematics of Ionized Gas in the Central Half Parsec of the Galaxy
124,B,2015.1.00193.S,Elitzur Moshe,NA,2,97,4.6,0.0,0.0,3.8,How big is the AGN obscuring torus?
125,B,2015.1.01212.S,Weiss Axel,EU,1,876,9.9,0.0,0.0,8.2,Molecular gas excitation in z=0.7 main sequence galaxies
126,A,2015.1.00117.S,Aravena Manuel,CL,1,34,9.4,0.0,0.0,0.0,A Full Inventory of the Molecular ISM in Two Starburst Galaxies at z=5.7
127,A,2015.1.00054.S,Justtanont Kay,EU,5,7,1.7,0.0,0.0,0.0,Measuring the superwind radius of OH26.5+0.6 : a recent dramatic increase in the mass loss
128,B,2015.1.00543.S,Elbaz David,EU,1,6,21.9,0.0,0.0,0.0,Towards a census of star-formation since z~6 with ALMA-1.1mm
129,B,2015.1.00162.S,Csengeri Timea,EU,3,7,3.3,0.0,0.0,0.0,The first Galaxy-scale hunt for the earliest phases of the formation of the most massive stars
130,B,2015.1.01525.S,Hsieh Tien-Hao,EA,3,9,1.3,2.6,0.0,1.3,Orbital Evolution of Proto-Binary Systems - Footprints in Protostellar Outflows
131,B,2015.1.01199.S,Anderson Dana,NA,4,7,6.6,0.0,0.0,0.0,A Novel Approach to Observing the Gas-Dissipation Timescale of Protoplanetary Disks
132,B,2015.1.01289.S,Sjouwerman Lorant,NA,2,3,26.8,0.0,0.0,0.0,Bulge Asymmetries and Dynamical Evolution (BAaDE) II
133,B,2015.1.00578.S,Zhang Qizhou,NA,3,6,3.2,0.0,0.0,3.2,Probing the role of magnetic fields in the formation of a massive protobinary
134,B,2015.1.00200.S,Saito Masao,EA,4,6,0.9,0.0,0.0,0.0,Disk/Envelope of the Burst Source EX Lup
135,B,2015.1.00028.S,Imanishi Masatoshi,EA,2,93,2.9,0.0,0.0,1.6,The role of infrared radiative pumping for molecular gas emission in AGNs
136,B,2015.1.01144.S,Viti Serena,EU,2,437,5.0,0.0,0.0,0.0,Determining the signature of star formation and AGN activity in the circumnuclear disk of NGC1068
137,A,2015.1.00058.S,GUELIN Michel,EU,5,6,3.6,0.0,0.0,0.0,"Small scale structure of the IRC+10216 CS shells, a key to the mass loss process and chemistry"
138,B,2015.1.00847.S,Du Fujun,NA,4,8,5.4,0.0,0.0,5.4,Locate hot water vapor in protoplanetary disks
139,B,2015.1.00203.S,Ellis Richard,NA,1,9,4.3,0.0,0.0,4.3,Spectroscopy of a normal z=2 galaxy with 200 pc resolution
140,A,2015.1.01148.S,Fan Lulu,OTHER,1,3,2.0,0.0,0.0,0.0,"Molecular gas in WISE-selected Hyper-luminous Hot, Dust-obscured Galaxies"
141,B,2015.1.00308.S,Bergin Edwin,NA,3,7,6.0,0.0,0.0,0.0,The 12C/13C Isotopic Ratio in Protoplanetary Disks
142,B,2015.1.00040.S,De Breuck Carlos,EU,1,34,5.4,0.0,0.0,0.0,Using [CI] to determine the distribution and heating mechanism of H2 in a z=4.8 star-forming disk
143,B,2015.1.01068.S,Zhang Yichen,CL,3,6,6.3,0.0,0.0,0.0,Outflow Entrainment in the Vicinity of the HH46/47 Protostar
144,B,2015.1.01084.S,Lellouch Emmanuel,EU,4,6,4.2,0.0,0.0,0.0, Surface emissivity on Kuiper Belt objects
145,B,2015.1.00295.S,Zschaechner Laura,EU,2,3,2.5,0.0,0.0,0.0,AGN Feedback in Action: Zooming in on the Molecular Outflow in the Nearest Active Galactic Nucleus
146,B,2015.1.01264.S,Shimonishi Takashi,EA,3,7,4.7,0.0,0.0,4.8,Spectral line survey toward a hot molecular core in the Large Magellanic Cloud
147,B,2015.1.00944.S,Nishimura Yuri,EA,2,3,7.1,0.0,0.0,0.0,Chemical Composition of Molecular Clouds in Nearby Low-metallicity Galaxy NGC 55
148,B,2015.1.00650.S,Israel Frank,EU,2,8,1.3,2.6,5.1,1.3,The nature of the massive outflow in Centaurus A
149,B,2015.1.00333.S,Pascucci Ilaria,NA,4,7,3.5,0.0,0.0,0.0,Establishing the Disk Mass-Stellar Mass Scaling Relation
150,B,2015.1.00441.S,Ueta Toshiya,NA,5,7,4.8,0.0,0.0,0.0,Revealing the Chicken-and-Egg Problem of the Onset of the Equatorial Density Enhancement in the AGB Mass Loss
151,B,2015.1.00633.S,Weinberger Alycia,NA,4,6,4.6,0.0,0.0,0.0,Debris Disk Structure Disentangled
152,B,2015.1.01409.S,Koch Patrick,NA,3,6,3.2,0.0,0.0,3.2,Resolving polarization holes in W51
153,B,2015.1.01580.S,Marrone Dan,NA,1,796,5.4,0.0,0.0,2.1,"The Fine Structure of an Extreme, Lensed Starburst Galaxy at z=5.7"
154,A,2015.1.01265.S,Wang Ran,OTHER,1,74,4.3,0.0,0.0,0.0,Study of the Interstellar Medium in the Most Luminous Starburst Quasar Host Galaxy at the Reionization Era
155,B,2015.1.00150.S,McGuire Brett,NA,3,7,4.9,0.0,0.0,0.0,The First Detection of the Glycine Precursor Hydroxylamine (NH2OH) in the Interstellar Medium
156,B,2015.1.00327.S,Walter Fabian,EU,1,6,4.7,0.0,0.0,0.0,Detecting [CII] and dust emission in Himiko at z~6.6
157,B,2015.1.00241.S,Guillard Pierre,EU,2,36,6.4,0.0,0.0,0.0,Star formation in the 1000 km/s shock of Stephan's Quintet
158,B,2015.1.01549.S,Ohashi Nagayoshi,EA,3,76,5.8,0.0,0.0,0.0,Physical Properties of Possible "Hot" Rings around Protostars
159,B,2015.1.00645.S,Lelli Federico,NA,2,3,13.4,0.0,0.0,0.0,Tidal Dwarf Galaxies: key probes for understanding dark matter and star formation
160,B,2015.1.00817.S,Cleeves L. Ilsedore,NA,4,78,8.4,0.0,0.0,3.0,The Irradiated Disk Chemistry of Orion
161,B,2015.1.00149.S,Liu Hauyu Baobab,EA NA,2,6,4.9,9.8,0.0,0.0,Testing a Chemical Model to Probe Supermassive Black Hole Accretion
162,B,2015.1.00224.S,Dutrey Anne,EU,4,7,6.8,0.0,0.0,0.0,Imaging a site of planet formation in the GG Tau A system
163,B,2015.1.00022.S,Maercker Matthias,EU,5,7,1.1,0.0,0.0,0.0,High spatial resolution imaging of the inner envelope of R Sculptoris
164,B,2015.1.00793.S,Crockett Nathan,NA,3,4,1.6,0.0,0.0,0.9,Tracing the Origins of Nitrogen Bearing Organics Toward Orion KL
165,B,2015.1.01093.S,Sakai Nami,EA,3,6,9.2,0.0,0.0,0.0,Unviased Chemical Survey of Protostellar Sources in Perseus
166,B,2015.1.00661.S,Fogasy Judit,EU,1,3746,5.9,0.0,0.0,0.0,Star formation outside of powerful AGN host galaxies
167,B,2015.1.00302.S,Frayer David,NA,1,3,1.1,0.0,0.0,0.0,Sub-Arcsec CO(3-2) Imaging of the z=2.8 Submillimeter Galaxy SMM J02399-0136
168,B,2015.1.00878.S,Barth Aaron,NA,2,6,4.6,0.0,0.0,0.0,Circumnuclear molecular disks in early-type galaxies as a probe of black hole masses: Expanding the sample
169,B,2015.1.01187.S,Basu Kaustuv,EU,1,3,5.1,10.2,0.0,0.0,ALMA observation of a galaxy cluster merger shock at half the age of the universe
170,B,2015.1.00032.S,Kennedy Grant,EU,4,7,2.9,0.0,0.0,0.0,The Origin of Debris Rings: Planets or Gas?
171,B,2015.1.00669.S,Hacar Alvaro,EU,3,3,12.4,0.0,0.0,0.0,Fibers and bundles: dissecting the internal substructure of massive filaments
172,B,2015.1.01522.S,Galluzzi Vincenzo,EU,2,3,9.9,0.0,0.0,9.9,Polarimetric observations of a complete sample of radio sources
173,B,2015.1.01478.S,Aso Yusuke,EA,4,6,1.9,0.0,0.0,0.0,Probing Formation of Keplerian Disks around First Hydrostatic Core Candidates
174,B,2015.1.01027.S,Sturm Eckhard,EU,2,3,3.4,0.0,0.0,0.0,Massive molecular outflows and negative feedback in active galaxies
175,B,2015.1.00078.S,Olofsson Hans,EU,5,6,3.6,0.0,0.0,3.0,The jet-launching mechansim in HD101584
176,B,2015.1.00449.S,Fontani Francesco,EU,3,7,6.0,12.0,3.0,0.0,Fragmentation of massive dense clumps: unveiling the initial conditions of high-mass star formation
177,B,2015.1.01125.S,Sandstrom Karin,NA,3,6,3.5,7.0,0.0,0.0,SMC B1 #1 is the New Perseus: The Relationship Between Av and CO at Low Metallicity
178,B,2015.1.01023.S,Gurwell Mark,NA,4,7,4.5,0.0,0.0,0.0,"High-Resolution Mapping of Titan's Atmospheric Composition, Dynamics and Temperature Near Southern Winter Solstice in Synergy with Cassini"
179,B,2015.1.00220.S,Genzel Reinhard,EU,1,3,7.7,0.0,0.0,0.0,Ubiquitous nuclear molecular outflows in massive z~2 star-forming galaxies?
180,B,2015.1.00504.S,Strandet Maria,EU,1,37,15.6,0.0,0.0,0.0,A search for the most distant and extreme starbursts in the Universe
181,B,2015.1.00455.S,Wang Junzhi,OTHER,2,4,2.0,0.0,0.0,0.0,A Breakthrough in Measuring SMBH Masses in  Type II AGNs: ALMA's Potential?
182,B,2015.1.00330.S,Riechers Dominik,NA,1,7,4.7,0.0,0.0,0.0,Gas Dynamics of Dusty Star-Forming Galaxies in the First 1.5 Billion Years
183,B,2015.1.00550.S,Tanaka Kunihiko,EA,3,67,4.8,4.7,0.0,0.0,Collision-induced Star Formation in the Milky Way's Central Molecular Zone
