CODE	Executive	SB_name	SB_uid	State	Priority	Array	reqExecs	qaa	qab	status	
2012.1.00496.S	NA 	UZ_Tau_220GHz_12m_C32-5 	uid://A002/X5d7935/X23d 	READY 	HIGHEST 	C32-5 	1 	0 	0	Carry over	
2012.1.00498.S	NA 	Multi-sourcef16_343_12m_C32-345 	uid://A002/X5ce05d/X87 	READY 	HIGHEST 	C32-4,C32-5 	1 	0 	0	Carry over	
2012.1.00498.S	NA 	Multi-sourcef24_343_12m_C32-345 	uid://A002/X5ce05d/X8c 	READY 	HIGHEST 	C32-4,C32-5 	1 	0 	0	Carry over	
2012.1.00498.S	NA 	Multi-sourcef32_343_12m_C32-345 	uid://A002/X5ce05d/X88 	READY 	HIGHEST 	C32-4,C32-5 	1 	0 	0	Carry over	
2012.1.00498.S	NA 	Multi-sourcef39_343_12m_C32-345 	uid://A002/X5ce05d/X8d 	READY 	HIGHEST 	C32-4,C32-5 	1 	0 	0	Carry over	
2012.1.00498.S	NA 	Multi-sourcef46_343_12m_C32-345 	uid://A002/X5ce05d/X89 	READY 	HIGHEST 	C32-4,C32-5 	1 	0 	0	Carry over	
2012.1.00498.S	NA 	Multi-sourcef54_343_12m_C32-345 	uid://A002/X5ce05d/X8e 	READY 	HIGHEST 	C32-4,C32-5 	1 	0 	0	Carry over	
2012.1.00498.S	NA 	Multi-sourcef61_343_12m_C32-345 	uid://A002/X5ce05d/X8a 	READY 	HIGHEST 	C32-4,C32-5 	1 	0 	0	Carry over	
2012.1.00498.S	NA 	Multi-sourcef68_343_12m_C32-345 	uid://A002/X5ce05d/X8f 	READY 	HIGHEST 	C32-4,C32-5 	1 	0 	0	Carry over	
2012.1.00501.S	NA 	Boomerang - Science 	uid://A002/X788a57/X38 	READY 	HIGHEST 	TP-ARRAY 	9 	0 	0	Carry over	
2012.1.00501.S	NA 	Boomerang_345_12m_C32-45 	uid://A002/X5d5f8a/X2 	READY 	HIGHEST 	C32-5 	2 	0 	0	Carry over	
