specRef,specRef,SB_UID,Name,BaseBands,SPWs
X20678730,X20678730,uid://A001/X2c0/X22e7,CO v=0 7-6 Science setup_1,1,2
X18980258,X18980258,uid://A001/X2c0/X22e8,B4 Pointing Setup,4,4
X11791482,X11791482,uid://A001/X2c0/X22e8,CO v=0 8-7 Science setup_1,1,1
X6568828,X6568828,uid://A001/X2c0/X22e9,B3 Pointing Setup,4,4
X22066774,X22066774,uid://A001/X2c0/X22e9,CO v=0 5-4 Science setup_1,2,2
X27234953,X27234953,uid://A001/X2c0/X22ea,B6 Pointing Setup,4,4
X18581223,X18581223,uid://A001/X2c0/X22ea,CII 2P3/2-2P1/2 Science setup_1,1,1
X2143101,X2143101,uid://A001/X2c0/X22eb,B6 Pointing Setup,4,4
X31150480,X31150480,uid://A001/X2c0/X22eb,OI NULL Science setup_1,1,1
X30380632,X30380632,uid://A001/X2c0/X22ec,B6 Pointing Setup,4,4
X15734189,X15734189,uid://A001/X2c0/X22ec,NII 3P1-3P0 Science setup_1,1,1
X10353371,X10353371,uid://A001/X2c0/X3e1e,B3 Pointing Setup,4,4
X12652406,X12652406,uid://A001/X2c0/X3e1e,H (40) _ Science setup_1,4,4
X13006169,X13006169,uid://A001/X2c0/X3e1f,B3 Pointing Setup,4,4
X2340715,X2340715,uid://A001/X2c0/X3e1f,H (40) _ Science setup_1,4,4
X2666815,X2666815,uid://A001/X2c0/X3e20,B3 Pointing Setup,4,4
X7237152,X7237152,uid://A001/X2c0/X3e20,H (40) _ Science setup_1,4,4
X14249154,X14249154,uid://A001/X2c0/X3e21,B3 Pointing Setup,4,4
X30689765,X30689765,uid://A001/X2c0/X3e21,H (40) _ Science setup_1,4,4
X25635289,X25635289,uid://A001/X2c0/X3e22,B3 Pointing Setup,4,4
X20296612,X20296612,uid://A001/X2c0/X3e22,H (40) _ Science setup_1,4,4
X23736383,X23736383,uid://A001/X2c0/X3e23,B3 Pointing Setup,4,4
X9971377,X9971377,uid://A001/X2c0/X3e23,H (40) _ Science setup_1,4,4
X11391055,X11391055,uid://A001/X2c0/X2620,B3 Pointing Setup,4,4
X16867033,X16867033,uid://A001/X2c0/X2620,CO v=0 1-0 Science setup_1,4,4
X32505096,X32505096,uid://A001/X2c0/X2621,B3 Pointing Setup,4,4
X15398704,X15398704,uid://A001/X2c0/X2621,CO v=0 1-0 Science setup_1,4,4
X5706202,X5706202,uid://A001/X2c0/X2622,B3 Pointing Setup,4,4
X11030487,X11030487,uid://A001/X2c0/X2622,CO v=0 1-0 Science setup (topo)_1,4,4
X27024414,X27024414,uid://A001/X2c0/X2622,Delay Setup,4,4
X5733873,X5733873,uid://A001/X2c0/X2623,B3 Pointing Setup,4,4
X13465258,X13465258,uid://A001/X2c0/X2623,CO v=0 1-0 Science setup_1,4,4
X23565117,X23565117,uid://A001/X2c0/X2623,Delay Setup,4,4
X8812791,X8812791,uid://A001/X2c0/X2624,B3 Pointing Setup,4,4
X24568806,X24568806,uid://A001/X2c0/X2624,CO v=0 1-0 Science setup_1,4,4
X28228611,X28228611,uid://A001/X2c0/X2625,B3 Pointing Setup,4,4
X15251173,X15251173,uid://A001/X2c0/X2625,CO v=0 1-0 Science setup_1,4,4
X27540593,X27540593,uid://A001/X2c0/X2626,B3 Pointing Setup,4,4
X11582732,X11582732,uid://A001/X2c0/X2626,CO v=0 1-0 Science setup (topo)_1,4,4
X24288115,X24288115,uid://A001/X2c0/X2626,Delay Setup,4,4
X11100022,X11100022,uid://A001/X2c0/X2627,B3 Pointing Setup,4,4
X31151157,X31151157,uid://A001/X2c0/X2627,CO v=0 1-0 Science setup_1,4,4
X15704928,X15704928,uid://A001/X2c0/X2627,Delay Setup,4,4
X15663975,X15663975,uid://A001/X2c0/X3e3b,B3 Pointing Setup,4,4
X9567990,X9567990,uid://A001/X2c0/X3e3b,CO v=0 1-0 Science setup_1,4,4
X3047886,X3047886,uid://A001/X2c0/X3e3c,B3 Pointing Setup,4,4
X22693409,X22693409,uid://A001/X2c0/X3e3c,CO v=0 1-0 Science setup_1,4,4
X19432532,X19432532,uid://A001/X2c0/X22d6,B3 Pointing Setup,4,4
X24306139,X24306139,uid://A001/X2c0/X22d6,CO(5-4) Science setup_1,4,4
X5934907,X5934907,uid://A001/X2c0/X22d7,B4 Pointing Setup,4,4
X23533841,X23533841,uid://A001/X2c0/X22d7,13CO(8-7) Science setup_1,4,4
X23086010,X23086010,uid://A001/X2c0/X2e45,B6 Pointing Setup,4,4
X5359877,X5359877,uid://A001/X2c0/X2e45,CO v=0 10-9 Science setup_1,4,4
X9721345,X9721345,uid://A001/X2c0/X2e46,B6 Pointing Setup,4,4
X874107,X874107,uid://A001/X2c0/X2e46,CO v=0 10-9 Science setup_1,4,4
X9649626,X9649626,uid://A001/X2c0/X2e47,B6 Pointing Setup,4,4
X6109172,X6109172,uid://A001/X2c0/X2e47,CO v=0 10-9 Science setup_1,4,4
X20845703,X20845703,uid://A001/X2c0/X2e48,B4 Pointing Setup,4,4
X3573632,X3573632,uid://A001/X2c0/X2e48,CO v=0 10-9 Science setup_1,4,4
X14285741,X14285741,uid://A001/X2c0/X244c,B6 Pointing Setup,4,4
X9584495,X9584495,uid://A001/X2c0/X244c,13CO v=0 2-1 Science setup,4,5
X14178195,X14178195,uid://A001/X2c0/X244c,13CO v=0 2-1 Science setup_1,4,5
X23119588,X23119588,uid://A001/X2c0/X3278,B3 Pointing Setup,4,4
X24760434,X24760434,uid://A001/X2c0/X3278,CO32-z2.4 Science setup_1,4,4
X1612752,X1612752,uid://A001/X2c0/X3279,B3 Pointing Setup,4,4
X28628648,X28628648,uid://A001/X2c0/X3279,CO32-z2.2 Science setup_1,4,4
X30465632,X30465632,uid://A001/X2c0/X3281,B3 Pointing Setup,4,4
X31621587,X31621587,uid://A001/X2c0/X3281,HCN v=0 J=1-0 Science setup,4,9
X15097721,X15097721,uid://A001/X2c0/X3281,HCN v=0 J=1-0 Science setup_1,4,9
X10040382,X10040382,uid://A001/X2c0/X3282,B3 Pointing Setup,4,4
X20673579,X20673579,uid://A001/X2c0/X3282,HCN v=0 J=1-0 Science setup,4,9
X21343694,X21343694,uid://A001/X2c0/X3282,HCN v=0 J=1-0 Science setup_1,4,9
X3513774,X3513774,uid://A001/X2c0/X2300,B3 Pointing Setup,4,4
X27771518,X27771518,uid://A001/X2c0/X2300,CO v=0 1-0 Science setup_1,4,4
X22515264,X22515264,uid://A001/X2c0/X2301,B3 Pointing Setup,4,4
X23115639,X23115639,uid://A001/X2c0/X2301,CO v=0 1-0 Science setup_1,4,4
X24300171,X24300171,uid://A001/X2c0/X2302,B3 Pointing Setup,4,4
X8961088,X8961088,uid://A001/X2c0/X2302,CO v=0 1-0 Science setup_1,4,4
X26192500,X26192500,uid://A001/X2c0/X2303,B3 Pointing Setup,4,4
X6964102,X6964102,uid://A001/X2c0/X2303,CO v=0 1-0 Science setup_1,4,4
X617968,X617968,uid://A001/X2c0/X2306,B4 Pointing Setup,4,4
X19792082,X19792082,uid://A001/X2c0/X2306,CO 2-1 Science setup_1,4,4
X23020192,X23020192,uid://A001/X2c0/X2307,B3 Pointing Setup,4,4
X22607952,X22607952,uid://A001/X2c0/X2307,HCO+ v=0 2-1 Science setup_1,4,4
X29586997,X29586997,uid://A001/X2c0/X32e1,B6 Pointing Setup,4,4
X4028413,X4028413,uid://A001/X2c0/X32e1,SkyCont(233.0 GHz) Science setup_1,4,4
X29535242,X29535242,uid://A001/X2c0/X32e2,B6 Pointing Setup,4,4
X23697217,X23697217,uid://A001/X2c0/X32e2,SkyCont(233.0 GHz) Science setup_1,4,4
X31828627,X31828627,uid://A001/X2c0/X32e3,B6 Pointing Setup,4,4
X14688178,X14688178,uid://A001/X2c0/X32e3,SkyCont(233.0 GHz) Science setup_1,4,4
X29106272,X29106272,uid://A001/X2c0/X32e4,B6 Pointing Setup,4,4
X11786694,X11786694,uid://A001/X2c0/X32e4,SkyCont(233.0 GHz) Science setup_1,4,4
X17329343,X17329343,uid://A001/X2c0/X3fdc,B3 Pointing Setup,4,4
X10428318,X10428318,uid://A001/X2c0/X3fdc,CO10-1 Science setup_1,4,4
X11712417,X11712417,uid://A001/X2c0/X3fdd,B3 Pointing Setup,4,4
X7277582,X7277582,uid://A001/X2c0/X3fdd,CO10-1 Science setup_1,4,4
X22167346,X22167346,uid://A001/X2c0/X3fde,B3 Pointing Setup,4,4
X13483344,X13483344,uid://A001/X2c0/X3fde,CO10-1 Science setup_1,4,4
X17441328,X17441328,uid://A001/X2c0/X3fdf,B3 Pointing Setup,4,4
X32335267,X32335267,uid://A001/X2c0/X3fdf,CO10-1 Science setup_1,4,4
X11498195,X11498195,uid://A001/X2c0/X3fe0,B3 Pointing Setup,4,4
X28383977,X28383977,uid://A001/X2c0/X3fe0,CO10-1 Science setup_1,4,4
X40364,X40364,uid://A001/X2c0/X3fe0,CO10-1 Science setup_2,4,4
X30267575,X30267575,uid://A001/X2c0/X3fe0,CO10-1 Science setup_3,4,4
X14325849,X14325849,uid://A001/X2c0/X3fe1,B3 Pointing Setup,4,4
X26611970,X26611970,uid://A001/X2c0/X3fe1,CO10-1 Science setup_1,4,4
X16167334,X16167334,uid://A001/X2c0/X3fe2,B3 Pointing Setup,4,4
X11353086,X11353086,uid://A001/X2c0/X3fe2,CO10-1 Science setup_1,4,4
X25936404,X25936404,uid://A001/X2c0/X3fe3,B3 Pointing Setup,4,4
X33359436,X33359436,uid://A001/X2c0/X3fe3,CO10-1 Science setup_1,4,4
X3626106,X3626106,uid://A001/X2c0/X3fe4,B3 Pointing Setup,4,4
X10450997,X10450997,uid://A001/X2c0/X3fe4,CO10-1 Science setup_1,4,4
X21376941,X21376941,uid://A001/X2c0/X3fe5,B3 Pointing Setup,4,4
X11608847,X11608847,uid://A001/X2c0/X3fe5,CO10-1 Science setup_1,4,4
X12216376,X12216376,uid://A001/X2c0/X3fe6,B3 Pointing Setup,4,4
X17779177,X17779177,uid://A001/X2c0/X3fe6,CO10-1 Science setup_1,4,4
X5832594,X5832594,uid://A001/X2c0/X3fe7,B3 Pointing Setup,4,4
X1491924,X1491924,uid://A001/X2c0/X3fe7,CO10-1 Science setup_1,4,4
X25756033,X25756033,uid://A001/X2c0/X4021,B6 Pointing Setup,4,4
X29623835,X29623835,uid://A001/X2c0/X4021,CO v=0 2-1 Science setup_1,4,4
X21438466,X21438466,uid://A001/X2c0/X4022,B6 Pointing Setup,4,4
X25960508,X25960508,uid://A001/X2c0/X4022,CO v=0 2-1 Science setup_1,4,4
X7817837,X7817837,uid://A001/X2c0/X4023,B6 Pointing Setup,4,4
X8549152,X8549152,uid://A001/X2c0/X4023,CO v=0 2-1 Science setup_1,4,4
X851781,X851781,uid://A001/X2c0/X4024,B6 Pointing Setup,4,4
X19297204,X19297204,uid://A001/X2c0/X4024,CO v=0 2-1 Science setup_1,4,4
X13147833,X13147833,uid://A001/X2c0/X4025,B6 Pointing Setup,4,4
X23944690,X23944690,uid://A001/X2c0/X4025,CO v=0 2-1 Science setup (topo)_1,4,4
X11099203,X11099203,uid://A001/X2c0/X4025,Delay Setup,4,4
X16557653,X16557653,uid://A001/X2c0/X4026,B6 Pointing Setup,4,4
X13437749,X13437749,uid://A001/X2c0/X4026,CO v=0 2-1 Science setup_1,4,4
X7105765,X7105765,uid://A001/X2c0/X4026,Delay Setup,4,4
X28629770,X28629770,uid://A001/X2c0/X4027,B6 Pointing Setup,4,4
X3703584,X3703584,uid://A001/X2c0/X4027,CO v=0 2-1 Science setup_1,4,4
X11487733,X11487733,uid://A001/X2c0/X4028,B6 Pointing Setup,4,4
X2335003,X2335003,uid://A001/X2c0/X4028,CO v=0 2-1 Science setup_1,4,4
X20476226,X20476226,uid://A001/X2c0/X4029,B6 Pointing Setup,4,4
X4136636,X4136636,uid://A001/X2c0/X4029,CO v=0 2-1 Science setup_1,4,4
X1757378,X1757378,uid://A001/X2c0/X402a,B6 Pointing Setup,4,4
X28751423,X28751423,uid://A001/X2c0/X402a,CO v=0 2-1 Science setup_1,4,4
X20313579,X20313579,uid://A001/X2c0/X402b,B6 Pointing Setup,4,4
X26296804,X26296804,uid://A001/X2c0/X402b,CO v=0 2-1 Science setup_1,4,4
X128428,X128428,uid://A001/X2c0/X402c,B6 Pointing Setup,4,4
X11229566,X11229566,uid://A001/X2c0/X402c,CO v=0 2-1 Science setup_1,4,4
X3042479,X3042479,uid://A001/X2c0/X402d,B6 Pointing Setup,4,4
X25440795,X25440795,uid://A001/X2c0/X402d,CO v=0 2-1 Science setup_1,4,4
X6580855,X6580855,uid://A001/X2c0/X402e,B6 Pointing Setup,4,4
X8441461,X8441461,uid://A001/X2c0/X402e,CO v=0 2-1 Science setup_1,4,4
X20039627,X20039627,uid://A001/X2c0/X402f,B6 Pointing Setup,4,4
X23917296,X23917296,uid://A001/X2c0/X402f,CO v=0 2-1 Science setup_1,4,4
X2167220,X2167220,uid://A001/X2c0/X4030,B6 Pointing Setup,4,4
X4896651,X4896651,uid://A001/X2c0/X4030,CO v=0 2-1 Science setup_1,4,4
X12607365,X12607365,uid://A001/X2c0/X2e4a,B6 Pointing Setup,4,4
X13689121,X13689121,uid://A001/X2c0/X2e4a,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1_1_1_1,4,4
X25553969,X25553969,uid://A001/X2c0/X2e4b,B6 Pointing Setup,4,4
X14835684,X14835684,uid://A001/X2c0/X2e4b,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1_1_1,4,4
X20918621,X20918621,uid://A001/X2c0/X2e4c,B6 Pointing Setup,4,4
X19955070,X19955070,uid://A001/X2c0/X2e4c,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1_1,4,4
X19583698,X19583698,uid://A001/X2c0/X2e4d,B6 Pointing Setup,4,4
X1948085,X1948085,uid://A001/X2c0/X2e4d,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1,4,4
X14639277,X14639277,uid://A001/X2c0/X2e4e,B6 Pointing Setup,4,4
X11062950,X11062950,uid://A001/X2c0/X2e4e,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1,4,4
X4754472,X4754472,uid://A001/X2c0/X2e4f,B6 Pointing Setup,4,4
X32845812,X32845812,uid://A001/X2c0/X2e4f,SkyCont(260.0 GHz) Science setup_1_1_1_1_1,4,4
X5489956,X5489956,uid://A001/X2c0/X2e50,B6 Pointing Setup,4,4
X11606141,X11606141,uid://A001/X2c0/X2e50,SkyCont(260.0 GHz) Science setup_1_1_1_1,4,4
X19455227,X19455227,uid://A001/X2c0/X2e51,B6 Pointing Setup,4,4
X30912264,X30912264,uid://A001/X2c0/X2e51,SkyCont(260.0 GHz) Science setup_1_1_1,4,4
X19431893,X19431893,uid://A001/X2c0/X2e52,B6 Pointing Setup,4,4
X24736941,X24736941,uid://A001/X2c0/X2e52,SkyCont(260.0 GHz) Science setup_1_1,4,4
X25484290,X25484290,uid://A001/X2c0/X2e53,B6 Pointing Setup,4,4
X20494668,X20494668,uid://A001/X2c0/X2e53,SkyCont(260.0 GHz) Science setup_1,4,4
X8049673,X8049673,uid://A001/X2c0/X2e54,B6 Pointing Setup,4,4
X3731786,X3731786,uid://A001/X2c0/X2e54,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1_1_1_1,4,4
X25092875,X25092875,uid://A001/X2c0/X2e55,B6 Pointing Setup,4,4
X28432269,X28432269,uid://A001/X2c0/X2e55,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1_1_1,4,4
X14844212,X14844212,uid://A001/X2c0/X2e56,B6 Pointing Setup,4,4
X24169259,X24169259,uid://A001/X2c0/X2e56,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1_1,4,4
X24330093,X24330093,uid://A001/X2c0/X2e57,B6 Pointing Setup,4,4
X13974944,X13974944,uid://A001/X2c0/X2e57,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1,4,4
X19746608,X19746608,uid://A001/X2c0/X2e58,B6 Pointing Setup,4,4
X8713664,X8713664,uid://A001/X2c0/X2e58,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1,4,4
X11503830,X11503830,uid://A001/X2c0/X2e59,B6 Pointing Setup,4,4
X17209177,X17209177,uid://A001/X2c0/X2e59,SkyCont(260.0 GHz) Science setup_1_1_1_1_1,4,4
X8537995,X8537995,uid://A001/X2c0/X2e5a,B6 Pointing Setup,4,4
X22303746,X22303746,uid://A001/X2c0/X2e5a,SkyCont(260.0 GHz) Science setup_1_1_1_1,4,4
X1189285,X1189285,uid://A001/X2c0/X2e5b,B6 Pointing Setup,4,4
X27188056,X27188056,uid://A001/X2c0/X2e5b,SkyCont(260.0 GHz) Science setup_1_1_1,4,4
X24069326,X24069326,uid://A001/X2c0/X2e5c,B6 Pointing Setup,4,4
X8539115,X8539115,uid://A001/X2c0/X2e5c,SkyCont(260.0 GHz) Science setup_1_1,4,4
X14709288,X14709288,uid://A001/X2c0/X2e5d,B6 Pointing Setup,4,4
X6685422,X6685422,uid://A001/X2c0/X2e5d,SkyCont(260.0 GHz) Science setup_1,4,4
X9279124,X9279124,uid://A001/X2c0/X2e5e,B6 Pointing Setup,4,4
X3617231,X3617231,uid://A001/X2c0/X2e5e,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1_1_1_1,4,4
X23369167,X23369167,uid://A001/X2c0/X2e5f,B6 Pointing Setup,4,4
X26538634,X26538634,uid://A001/X2c0/X2e5f,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1_1_1,4,4
X6596396,X6596396,uid://A001/X2c0/X2e60,B6 Pointing Setup,4,4
X19119222,X19119222,uid://A001/X2c0/X2e60,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1_1,4,4
X19880102,X19880102,uid://A001/X2c0/X2e61,B6 Pointing Setup,4,4
X12558513,X12558513,uid://A001/X2c0/X2e61,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1,4,4
X30719361,X30719361,uid://A001/X2c0/X2e62,B6 Pointing Setup,4,4
X32209136,X32209136,uid://A001/X2c0/X2e62,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1,4,4
X29231156,X29231156,uid://A001/X2c0/X2e63,B6 Pointing Setup,4,4
X3049530,X3049530,uid://A001/X2c0/X2e63,SkyCont(260.0 GHz) Science setup_1_1_1_1_1,4,4
X15342451,X15342451,uid://A001/X2c0/X2e64,B6 Pointing Setup,4,4
X31678310,X31678310,uid://A001/X2c0/X2e64,SkyCont(260.0 GHz) Science setup_1_1_1_1,4,4
X10770811,X10770811,uid://A001/X2c0/X2e65,B6 Pointing Setup,4,4
X25304174,X25304174,uid://A001/X2c0/X2e65,SkyCont(260.0 GHz) Science setup_1_1_1,4,4
X15666315,X15666315,uid://A001/X2c0/X2e66,B6 Pointing Setup,4,4
X25327717,X25327717,uid://A001/X2c0/X2e66,SkyCont(260.0 GHz) Science setup_1_1,4,4
X11919285,X11919285,uid://A001/X2c0/X2e67,B6 Pointing Setup,4,4
X26467876,X26467876,uid://A001/X2c0/X2e67,SkyCont(260.0 GHz) Science setup_1,4,4
X4970022,X4970022,uid://A001/X2c0/X2e68,B6 Pointing Setup,4,4
X19443643,X19443643,uid://A001/X2c0/X2e68,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1_1_1_1,4,4
X29549108,X29549108,uid://A001/X2c0/X2e69,B6 Pointing Setup,4,4
X17204911,X17204911,uid://A001/X2c0/X2e69,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1_1_1,4,4
X31344433,X31344433,uid://A001/X2c0/X2e6a,B6 Pointing Setup,4,4
X9239791,X9239791,uid://A001/X2c0/X2e6a,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1_1,4,4
X24625714,X24625714,uid://A001/X2c0/X2e6b,B6 Pointing Setup,4,4
X22514513,X22514513,uid://A001/X2c0/X2e6b,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1,4,4
X4357583,X4357583,uid://A001/X2c0/X2e6c,B6 Pointing Setup,4,4
X3752047,X3752047,uid://A001/X2c0/X2e6c,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1,4,4
X28345015,X28345015,uid://A001/X2c0/X2e6d,B6 Pointing Setup,4,4
X25313125,X25313125,uid://A001/X2c0/X2e6d,SkyCont(260.0 GHz) Science setup_1_1_1_1_1,4,4
X14775753,X14775753,uid://A001/X2c0/X2e6e,B6 Pointing Setup,4,4
X20451404,X20451404,uid://A001/X2c0/X2e6e,SkyCont(260.0 GHz) Science setup_1_1_1_1,4,4
X27597919,X27597919,uid://A001/X2c0/X2e6f,B6 Pointing Setup,4,4
X7595452,X7595452,uid://A001/X2c0/X2e6f,SkyCont(260.0 GHz) Science setup_1_1_1,4,4
X11450900,X11450900,uid://A001/X2c0/X2e70,B6 Pointing Setup,4,4
X16458861,X16458861,uid://A001/X2c0/X2e70,SkyCont(260.0 GHz) Science setup_1_1,4,4
X27800053,X27800053,uid://A001/X2c0/X2e71,B6 Pointing Setup,4,4
X20022405,X20022405,uid://A001/X2c0/X2e71,SkyCont(260.0 GHz) Science setup_1,4,4
X24184410,X24184410,uid://A001/X2c0/X2e72,B6 Pointing Setup,4,4
X4735310,X4735310,uid://A001/X2c0/X2e72,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1_1_1_1,4,4
X26145684,X26145684,uid://A001/X2c0/X2e73,B6 Pointing Setup,4,4
X16096859,X16096859,uid://A001/X2c0/X2e73,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1_1_1,4,4
X19884471,X19884471,uid://A001/X2c0/X2e74,B6 Pointing Setup,4,4
X2250305,X2250305,uid://A001/X2c0/X2e74,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1_1,4,4
X24232054,X24232054,uid://A001/X2c0/X2e75,B6 Pointing Setup,4,4
X20526629,X20526629,uid://A001/X2c0/X2e75,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1_1,4,4
X15113694,X15113694,uid://A001/X2c0/X2e76,B6 Pointing Setup,4,4
X2805185,X2805185,uid://A001/X2c0/X2e76,SkyCont(260.0 GHz) Science setup_1_1_1_1_1_1,4,4
X19786602,X19786602,uid://A001/X2c0/X2e77,B6 Pointing Setup,4,4
X16520912,X16520912,uid://A001/X2c0/X2e77,SkyCont(260.0 GHz) Science setup_1_1_1_1_1,4,4
X14683045,X14683045,uid://A001/X2c0/X2e78,B6 Pointing Setup,4,4
X28587046,X28587046,uid://A001/X2c0/X2e78,SkyCont(260.0 GHz) Science setup_1_1_1_1,4,4
X13903831,X13903831,uid://A001/X2c0/X2e79,B6 Pointing Setup,4,4
X14626471,X14626471,uid://A001/X2c0/X2e79,SkyCont(260.0 GHz) Science setup_1_1_1,4,4
X5710571,X5710571,uid://A001/X2c0/X2e7a,B6 Pointing Setup,4,4
X27475445,X27475445,uid://A001/X2c0/X2e7a,SkyCont(260.0 GHz) Science setup_1_1,4,4
X7019342,X7019342,uid://A001/X2c0/X2e7b,B6 Pointing Setup,4,4
X28740126,X28740126,uid://A001/X2c0/X2e7b,SkyCont(260.0 GHz) Science setup_1,4,4
X18494365,X18494365,uid://A001/X2c0/X2e7c,B6 Pointing Setup,4,4
X27503904,X27503904,uid://A001/X2c0/X2e7c,SkyCont(350.0 GHz) Science setup_1_1_1_1_1_1_1_1_1_1,4,4
X24081738,X24081738,uid://A001/X2c0/X2e7d,B6 Pointing Setup,4,4
X1610569,X1610569,uid://A001/X2c0/X2e7d,SkyCont(350.0 GHz) Science setup_1_1_1_1_1_1_1_1_1,4,4
X1953715,X1953715,uid://A001/X2c0/X2e7e,B6 Pointing Setup,4,4
X5040784,X5040784,uid://A001/X2c0/X2e7e,SkyCont(350.0 GHz) Science setup_1_1_1_1_1_1_1_1,4,4
X2382390,X2382390,uid://A001/X2c0/X2e7f,B6 Pointing Setup,4,4
X1001323,X1001323,uid://A001/X2c0/X2e7f,SkyCont(350.0 GHz) Science setup_1_1_1_1_1_1_1,4,4
X5095631,X5095631,uid://A001/X2c0/X2e80,B6 Pointing Setup,4,4
X33003971,X33003971,uid://A001/X2c0/X2e80,SkyCont(350.0 GHz) Science setup_1_1_1_1_1_1,4,4
X11521131,X11521131,uid://A001/X2c0/X2e81,B6 Pointing Setup,4,4
X7790331,X7790331,uid://A001/X2c0/X2e81,SkyCont(350.0 GHz) Science setup_1_1_1_1_1,4,4
X7805259,X7805259,uid://A001/X2c0/X2e82,B6 Pointing Setup,4,4
X6491215,X6491215,uid://A001/X2c0/X2e82,SkyCont(350.0 GHz) Science setup_1_1_1_1,4,4
X19670073,X19670073,uid://A001/X2c0/X2e83,B6 Pointing Setup,4,4
X28814900,X28814900,uid://A001/X2c0/X2e83,SkyCont(350.0 GHz) Science setup_1_1_1,4,4
X22902969,X22902969,uid://A001/X2c0/X2e84,B6 Pointing Setup,4,4
X6781359,X6781359,uid://A001/X2c0/X2e84,SkyCont(350.0 GHz) Science setup_1_1,4,4
X1320663,X1320663,uid://A001/X2c0/X2e85,B6 Pointing Setup,4,4
X16395130,X16395130,uid://A001/X2c0/X2e85,SkyCont(350.0 GHz) Science setup_1,4,4
X17208274,X17208274,uid://A001/X2c0/X2e91,B6 Pointing Setup,4,4
X11197084,X11197084,uid://A001/X2c0/X2e91,SkyCont(343.5 GHz) Science setup_1,4,4
X8649823,X8649823,uid://A001/X2c0/X2e8a,B6 Pointing Setup,4,4
X5900624,X5900624,uid://A001/X2c0/X2e8a,CS v=0 5-4 Science setup_1,4,4
X10055288,X10055288,uid://A001/X2c0/X2e8b,B6 Pointing Setup,4,4
X16915797,X16915797,uid://A001/X2c0/X2e8b,CS v=0 5-4 Science setup_1,4,4
X13060792,X13060792,uid://A001/X2c0/X2e8c,B6 Pointing Setup,4,4
X20616653,X20616653,uid://A001/X2c0/X2e8c,CO v=0 3-2 Science setup_1,4,4
X5729524,X5729524,uid://A001/X2c0/X2e8d,B6 Pointing Setup,4,4
X8265791,X8265791,uid://A001/X2c0/X2e8d,CO v=0 3-2 Science setup_1,4,4
X4957667,X4957667,uid://A001/X2c0/X2e8e,B6 Pointing Setup,4,4
X22851498,X22851498,uid://A001/X2c0/X2e8e,CO v=0 6-5 Science setup_1,2,2
X4344263,X4344263,uid://A001/X2c0/X2e8f,B6 Pointing Setup,4,4
X25692618,X25692618,uid://A001/X2c0/X2e8f,CO v=0 6-5 Science setup_1,2,2
X31599233,X31599233,uid://A001/X2c0/X3e7f,B6 Pointing Setup,4,4
X9988569,X9988569,uid://A001/X2c0/X3e7f,13CO v=0 3-2 Science setup,4,4
X19587665,X19587665,uid://A001/X2c0/X3e7f,13CO v=0 3-2 Science setup_1,4,4
X27448999,X27448999,uid://A001/X2c0/X3e80,B6 Pointing Setup,4,4
X20149740,X20149740,uid://A001/X2c0/X3e80,CO v=0 3-2 Science setup,4,4
X13113060,X13113060,uid://A001/X2c0/X3e80,CO v=0 3-2 Science setup_1,4,4
X19256763,X19256763,uid://A001/X2c0/X32b4,B6 Pointing Setup,4,4
X10064152,X10064152,uid://A001/X2c0/X32b4,HCO+ v=0 3-2 Science setup,4,4
X4146893,X4146893,uid://A001/X2c0/X32b4,HCO+ v=0 3-2 Science setup_1,4,4
X16236171,X16236171,uid://A001/X2c0/X32b5,B6 Pointing Setup,4,4
X15090343,X15090343,uid://A001/X2c0/X32b5,HCO+ v=0 3-2 Science setup,4,4
X4615856,X4615856,uid://A001/X2c0/X32b5,HCO+ v=0 3-2 Science setup_1,4,4
X15224977,X15224977,uid://A001/X2c0/X32dc,B6 Pointing Setup,4,4
X26215004,X26215004,uid://A001/X2c0/X32dc,CII 277491 Science setup_1,4,4
X9089438,X9089438,uid://A001/X2c0/X32dd,B6 Pointing Setup,4,4
