specRef,specRef,SB_UID,Name,BaseBands,SPWs
X19989542,X19989542,uid://A001/X2c0/X388d,SkyCont(233.0 GHz) Science setup_1,4,4
X32664263,X32664263,uid://A001/X2c0/X388e,B6 Pointing Setup,4,4
X17151682,X17151682,uid://A001/X2c0/X388e,SkyCont(233.0 GHz) Science setup_1,4,4
X25144647,X25144647,uid://A001/X2c0/X388f,B6 Pointing Setup,4,4
X19305357,X19305357,uid://A001/X2c0/X388f,SkyCont(233.0 GHz) Science setup_1,4,4
X28149800,X28149800,uid://A001/X2c0/X3890,B6 Pointing Setup,4,4
X5037442,X5037442,uid://A001/X2c0/X3890,SkyCont(233.0 GHz) Science setup_1,4,4
X14291537,X14291537,uid://A001/X2c0/X3891,B6 Pointing Setup,4,4
X6067009,X6067009,uid://A001/X2c0/X3891,SkyCont(233.0 GHz) Science setup_1,4,4
X23446776,X23446776,uid://A001/X2c0/X3892,B6 Pointing Setup,4,4
X31586850,X31586850,uid://A001/X2c0/X3892,SkyCont(233.0 GHz) Science setup_1,4,4
X11162166,X11162166,uid://A001/X2c0/X3893,B6 Pointing Setup,4,4
X30448764,X30448764,uid://A001/X2c0/X3893,SkyCont(233.0 GHz) Science setup_1,4,4
X4398956,X4398956,uid://A001/X2c0/X3894,B6 Pointing Setup,4,4
X2872667,X2872667,uid://A001/X2c0/X3894,SkyCont(233.0 GHz) Science setup_1,4,4
X17864187,X17864187,uid://A001/X2c0/X3895,B6 Pointing Setup,4,4
X15316709,X15316709,uid://A001/X2c0/X3895,SkyCont(233.0 GHz) Science setup_1,4,4
X25140698,X25140698,uid://A001/X2c0/X3896,B6 Pointing Setup,4,4
X22600875,X22600875,uid://A001/X2c0/X3896,SkyCont(233.0 GHz) Science setup_1,4,4
X1498834,X1498834,uid://A001/X2c0/X3897,B6 Pointing Setup,4,4
X7980882,X7980882,uid://A001/X2c0/X3897,SkyCont(233.0 GHz) Science setup_1,4,4
X18291854,X18291854,uid://A001/X2c0/X3898,B6 Pointing Setup,4,4
X2186376,X2186376,uid://A001/X2c0/X3898,SkyCont(233.0 GHz) Science setup_1,4,4
X27762980,X27762980,uid://A001/X2c0/X3899,B6 Pointing Setup,4,4
X20118292,X20118292,uid://A001/X2c0/X3899,SkyCont(233.0 GHz) Science setup_1,4,4
X27783025,X27783025,uid://A001/X2c0/X389a,B6 Pointing Setup,4,4
X26137913,X26137913,uid://A001/X2c0/X389a,SkyCont(233.0 GHz) Science setup_1,4,4
X25068820,X25068820,uid://A001/X2c0/X389b,B6 Pointing Setup,4,4
X17210453,X17210453,uid://A001/X2c0/X389b,SkyCont(233.0 GHz) Science setup_1,4,4
X19588643,X19588643,uid://A001/X2c0/X36ee,B3 Pointing Setup,4,4
X18649852,X18649852,uid://A001/X2c0/X36ee,CO v=0 1-0 Science setup_1,2,2
X19886168,X19886168,uid://A001/X2c0/X36ef,B3 Pointing Setup,4,4
X739896,X739896,uid://A001/X2c0/X36ef,CO v=0 1-0 Science setup_1,2,2
X11264163,X11264163,uid://A001/X2c0/X36f0,B3 Pointing Setup,4,4
X8552567,X8552567,uid://A001/X2c0/X36f0,CO v=0 1-0 Science setup_1,2,2
X1662159,X1662159,uid://A001/X2c0/X36f1,B6 Pointing Setup,4,4
X16114815,X16114815,uid://A001/X2c0/X36f1,HCN v=0 J=4-3 Science setup_1,4,4
X25772963,X25772963,uid://A001/X2c0/X36f2,B6 Pointing Setup,4,4
X2324555,X2324555,uid://A001/X2c0/X36f2,HCN v=0 J=4-3 Science setup_1,4,4
X24631870,X24631870,uid://A001/X2c0/X2212,B6 Pointing Setup,4,4
X11252079,X11252079,uid://A001/X2c0/X2212,SkyCont(343.5 GHz) Science setup_1,4,4
X6423038,X6423038,uid://A001/X2c0/X2213,B6 Pointing Setup,4,4
X9991609,X9991609,uid://A001/X2c0/X2213,SkyCont(233.0 GHz) Science setup_1,4,4
X12113036,X12113036,uid://A001/X2c0/X353c,B6 Pointing Setup,4,4
X29820956,X29820956,uid://A001/X2c0/X353c,AlO-344 Science setup_1,4,4
X5544844,X5544844,uid://A001/X2c0/X353d,B6 Pointing Setup,4,4
