targetId,targetId,SB_UID,indObs,name
X9648302,X9648302,uid://A001/X2c0/X3193,0,Science
X24527031,X24527031,uid://A001/X2c0/X3193,0,Science
X24474228,X24474228,uid://A001/X2c0/X3194,0,Calibrators
X22896129,X22896129,uid://A001/X2c0/X3194,0,Calibrators
X10209871,X10209871,uid://A001/X2c0/X3194,0,Calibrators
X18118097,X18118097,uid://A001/X2c0/X3194,0,Science
X33496941,X33496941,uid://A001/X2c0/X3194,0,Science
X26346550,X26346550,uid://A001/X2c0/X3194,0,Science
X28451819,X28451819,uid://A001/X2c0/X3194,0,Science
X10466587,X10466587,uid://A001/X2c0/X3194,0,Science
X659365,X659365,uid://A001/X2c0/X3194,0,Science
X27107115,X27107115,uid://A001/X2c0/X3194,0,Science
X3319712,X3319712,uid://A001/X2c0/X3195,0,Calibrators
X15268545,X15268545,uid://A001/X2c0/X3195,0,Calibrators
X1639223,X1639223,uid://A001/X2c0/X3195,0,Calibrators
X7679377,X7679377,uid://A001/X2c0/X3195,0,Science
X7664224,X7664224,uid://A001/X2c0/X3195,0,Science
X15961495,X15961495,uid://A001/X2c0/X3195,0,Science
X2617094,X2617094,uid://A001/X2c0/X3195,0,Science
X3671442,X3671442,uid://A001/X2c0/X3195,0,Science
X13451989,X13451989,uid://A001/X2c0/X3195,0,Science
X15946178,X15946178,uid://A001/X2c0/X3195,0,Science
X21822295,X21822295,uid://A001/X2c0/X3196,0,Calibrators
X11886974,X11886974,uid://A001/X2c0/X3196,0,Calibrators
X25798981,X25798981,uid://A001/X2c0/X3196,0,Calibrators
X12699457,X12699457,uid://A001/X2c0/X3196,0,Science
X13639757,X13639757,uid://A001/X2c0/X3196,0,Science
X28588811,X28588811,uid://A001/X2c0/X3196,0,Science
X1481765,X1481765,uid://A001/X2c0/X3196,0,Science
X28159462,X28159462,uid://A001/X2c0/X3196,0,Science
X19558479,X19558479,uid://A001/X2c0/X3196,0,Science
X25000704,X25000704,uid://A001/X2c0/X3196,0,Science
X30399844,X30399844,uid://A001/X2c0/X3197,0,Calibrators
X18856525,X18856525,uid://A001/X2c0/X3197,0,Calibrators
X6208915,X6208915,uid://A001/X2c0/X3197,0,Calibrators
X30799827,X30799827,uid://A001/X2c0/X3197,0,Science
X29656622,X29656622,uid://A001/X2c0/X3197,0,Science
X21107903,X21107903,uid://A001/X2c0/X3197,0,Science
X1225495,X1225495,uid://A001/X2c0/X3197,0,Science
X13964148,X13964148,uid://A001/X2c0/X3197,0,Science
X27167436,X27167436,uid://A001/X2c0/X3197,0,Science
X9978026,X9978026,uid://A001/X2c0/X3197,0,Science
X30271159,X30271159,uid://A001/X2c0/X3198,0,Calibrators
X21710354,X21710354,uid://A001/X2c0/X3198,0,Calibrators
X251944,X251944,uid://A001/X2c0/X3198,0,Calibrators
X13320270,X13320270,uid://A001/X2c0/X3198,0,Science
X23782833,X23782833,uid://A001/X2c0/X3198,0,Science
X19626378,X19626378,uid://A001/X2c0/X3198,0,Science
X27255688,X27255688,uid://A001/X2c0/X3198,0,Science
X9810341,X9810341,uid://A001/X2c0/X3198,0,Science
X20087421,X20087421,uid://A001/X2c0/X3198,0,Science
X6349753,X6349753,uid://A001/X2c0/X3198,0,Science
X29758071,X29758071,uid://A001/X2c0/X3199,0,Calibrators
X18692826,X18692826,uid://A001/X2c0/X3199,0,Calibrators
X32485934,X32485934,uid://A001/X2c0/X3199,0,Calibrators
X5333651,X5333651,uid://A001/X2c0/X3199,0,Science
X24374057,X24374057,uid://A001/X2c0/X3199,0,Science
X20989955,X20989955,uid://A001/X2c0/X3199,0,Science
X13103647,X13103647,uid://A001/X2c0/X3199,0,Science
X26559624,X26559624,uid://A001/X2c0/X3199,0,Science
X10606309,X10606309,uid://A001/X2c0/X3199,0,Science
X10235353,X10235353,uid://A001/X2c0/X3199,0,Science
X11944101,X11944101,uid://A001/X2c0/X319a,0,Calibrators
X3662999,X3662999,uid://A001/X2c0/X319a,0,Calibrators
X10842582,X10842582,uid://A001/X2c0/X319a,0,Calibrators
X3473272,X3473272,uid://A001/X2c0/X319a,0,Science
X14451104,X14451104,uid://A001/X2c0/X319a,0,Science
X20394809,X20394809,uid://A001/X2c0/X319a,0,Science
X15239932,X15239932,uid://A001/X2c0/X319a,0,Science
X7144843,X7144843,uid://A001/X2c0/X319a,0,Science
X19996671,X19996671,uid://A001/X2c0/X319a,0,Science
X15940599,X15940599,uid://A001/X2c0/X319a,0,Science
X15111568,X15111568,uid://A001/X2c0/X31bd,0,Calibrators
X506696,X506696,uid://A001/X2c0/X31bd,0,Calibrators
X28861919,X28861919,uid://A001/X2c0/X31bd,0,Calibrators
X28996508,X28996508,uid://A001/X2c0/X31bd,0,Science
